DATE,0,1,2,3,4,5,Average,Yearly_Deviation
2014-12-13,0.0,0.02,0.0,0.0,0.0,0.0,0.0033333333333333,
2014-12-14,0.0,0.06,0.0,0.0,0.0,0.0,0.012,
2014-12-15,0.0,0.24,0.0,0.0,0.0,0.0,0.048,
2014-12-16,0.0,0.79,0.08,0.0,0.02,0.26,0.1916666666666666,
2014-12-17,0.71,1.36,0.79,0.35,0.49,0.04,0.6233333333333334,
2014-12-18,0.0,0.08,0.37,0.1,0.0,0.0,0.0916666666666666,
2014-12-19,0.0,0.16,2.36,0.0,0.0,0.0,0.42,
2014-12-20,0.0,0.02,0.0,0.0,0.0,0.79,0.135,
2014-12-21,0.83,0.04,0.43,0.51,0.83,0.02,0.4433333333333333,
2014-12-22,0.0,0.0,0.0,0.0,0.0,0.24,0.04,
2014-12-23,0.0,0.26,0.0,0.1,0.0,0.0,0.072,
2014-12-24,0.0,0.08,0.0,0.0,0.0,0.0,0.016,
2014-12-25,0.0,0.39,0.0,0.0,0.0,0.02,0.082,
2014-12-26,0.0,0.16,0.0,0.0,0.0,0.0,0.032,
2014-12-27,0.0,0.28,0.0,0.0,0.0,0.0,0.056,
2014-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-12-29,0.1,0.0,0.51,0.0,0.51,0.0,0.1866666666666666,
2014-12-30,0.12,0.06,0.0,0.06,0.04,0.0,0.0466666666666666,
2014-12-31,0.0,0.24,0.0,0.08,0.0,0.0,0.064,
2015-01-01,0.0,0.02,0.14,0.33,0.0,0.24,0.1216666666666666,0.1216666666666666
2015-01-02,0.0,0.3,0.04,0.0,0.0,0.06,0.0666666666666666,-0.1133333333333334
