DATE,0,1,2,3,4,5,6,7,8,9,Average,Yearly_Deviation
2016-01-20,,,,0.0,,,0.0,,0.18,,0.06,0.019999999999999997
2016-01-21,,,,0.0,,,,,0.51,,0.255,0.06
2016-01-22,,,,,,,,,0.51,,0.51,0.22166666666666673
2016-01-23,,,,0.43,,0.48,,,1.57,0.0,0.8266666666666667,0.8266666666666667
2016-01-24,,,,0.43,,0.16,0.04,,0.71,0.0,0.3349999999999999,0.3349999999999999
2016-01-25,,,,0.43,,0.15,0.0,,0.1,,0.1699999999999999,0.1699999999999999
2016-01-26,0.03,,,,0.01,0.0,0.02,0.0,,,0.012,-0.17911111111111108
2016-01-27,,,,,,,,,,,0.0,-0.1066666666666666
2016-01-28,,,,0.44,,0.94,,,,,0.69,0.625
2016-01-29,,,1.22,0.67,,1.42,0.08,,,1.26,0.8475,0.5325
2016-01-30,,0.67,0.16,,,0.16,0.0,,0.14,,0.226,0.14600000000000002
2016-01-31,,,,,,,,,0.98,,0.98,0.9766666666666667
2016-02-01,,,,,,,,,1.46,,1.46,1.46
2016-02-02,,,,0.0,,0.0,,,0.43,,0.1433333333333333,0.12333333333333331
2016-02-03,,,,,,,,,0.14,,0.14,0.14
2016-02-04,,,,,,,,,,,0.0,-0.175
2016-02-05,,,,,,,,,,,0.0,-0.185
2016-02-06,,,,0.01,,0.0,0.0,,0.2,,0.0525,0.0525
2016-02-07,,0.02,,,,0.0,,,0.0,,0.0066666666666666,0.0066666666666666
2016-02-08,,,,,,,,,,,0.0,-0.17
2016-02-09,,,,,,,,0.0,0.0,,0.0,-0.0575
2016-02-10,,,,,,,,,,,0.0,0.0
2016-02-11,,,,,,,,,,,0.0,0.0
2016-02-12,0.59,0.1,0.05,1.3,0.71,0.94,0.63,0.94,0.36,0.43,0.6244444444444445,0.6044444444444445
2016-02-13,0.87,0.12,0.19,0.13,0.87,0.35,0.35,0.63,0.43,1.97,0.4377777777777778,0.3677777777777778
2016-02-14,,0.45,0.08,0.0,0.12,0.0,0.02,0.32,0.31,,0.1625,0.1625
2016-02-15,,,,0.06,0.0,,0.0,,0.59,,0.1624999999999999,0.1624999999999999
2016-02-16,0.05,,,0.0,0.03,0.0,0.02,0.12,0.03,,0.0357142857142857,-0.3155357142857143
2016-02-17,,,,,,0.0,,,0.12,,0.06,-0.06125
2016-02-18,,,,,,,,,,,0.0,-0.1225
2016-02-19,,,,,,,,,,,0.0,-0.0466666666666666
2016-02-20,,,,,,,,,,0.05,0.0,0.0
2016-02-21,,,,,,,,,0.0,,0.0,-0.22
2016-02-22,,,,,,,,,,,0.0,-0.1071428571428571
2016-02-23,0.02,,,,0.04,0.08,0.03,0.0,,,0.0339999999999999,0.0339999999999999
2016-02-24,,0.22,0.04,,,0.0,,,0.03,,0.0725,0.0725
2016-02-25,,,,,,,,,0.28,,0.28,0.28
2016-02-26,,,0.0,,,,0.15,,0.0,,0.0499999999999999,0.0199999999999999
2016-02-27,0.0,0.0,0.0,,0.01,0.0,0.12,,0.12,,0.0357142857142857,-0.0742857142857143
2016-02-28,0.16,0.59,0.2,0.05,0.16,0.0,0.47,,0.31,0.03,0.2425,0.2425
2016-02-29,,,0.0,0.0,0.0,0.02,0.02,0.0,0.42,0.0,0.0657142857142857,-0.06428571428571431
2016-03-01,,,,,,,,,0.0,,0.0,0.0
2016-03-02,,,,,,,,,,,0.0,-0.1599999999999999
2016-03-03,,,,,,,,,,,0.0,-0.0033333333333333
2016-03-04,,,0.31,0.35,,0.0,,,,1.42,0.2199999999999999,0.1599999999999999
