DATE,0,1,2,3,4,Average
2015-06-08,,0.01,0.24,,0.01,0.08666666666666667
2015-06-09,,0.16,0.04,,0.0,0.06666666666666667
2015-06-10,,0.34,0.57,,,0.45499999999999996
2015-06-11,,,1.01,,,1.01
2015-06-12,,,0.62,,,0.62
2015-06-13,,0.02,0.68,,0.03,0.24333333333333337
2015-06-14,,0.0,0.42,,0.02,0.14666666666666667
2015-06-15,,,0.25,,0.08,0.165
2015-06-16,,,0.06,,0.07,0.065
2015-06-17,,0.48,,,1.14,0.8099999999999999
2015-06-18,,0.02,,,0.52,0.27
2015-06-19,,0.08,,,0.0,0.04
2015-06-20,,0.06,,,0.07,0.065
2015-06-21,,0.0,0.55,,0.94,0.49666666666666665
2015-06-22,,0.01,0.69,,0.63,0.44333333333333336
2015-06-23,,,0.69,,1.25,0.97
2015-06-24,,,0.2,,,0.2
2015-06-25,,0.22,0.06,,0.04,0.10666666666666667
2015-06-26,,0.06,0.21,,,0.135
2015-06-27,,0.0,0.0,,,0.0
2015-06-28,,,0.0,,,0.0
2015-06-29,,0.0,,,,0.0
2015-06-30,,0.05,,,0.7,0.375
2015-07-01,,0.04,,,,0.04
2015-07-02,,,,,,
2015-07-03,,,0.0,,0.05,0.025
2015-07-04,,0.05,,,0.09,0.07
2015-07-05,,,0.63,,0.05,0.34
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,0.0,,,0.0
2015-07-09,,,2.24,,,2.24
2015-07-10,,,0.21,,,0.21
2015-07-11,,,0.0,,,0.0
2015-07-12,,,,,,
2015-07-13,,0.01,,,,0.01
2015-07-14,,0.0,,,0.01,0.005
2015-07-15,,0.32,1.44,,3.92,1.8933333333333333
2015-07-16,,0.01,2.63,,0.02,0.8866666666666666
2015-07-17,,0.9,6.19,,0.01,2.3666666666666667
2015-07-18,,1.44,0.33,,,0.885
2015-07-19,,0.05,0.17,,,0.11000000000000001
2015-07-20,,0.04,0.53,,,0.28500000000000003
2015-07-21,,0.0,1.32,,,0.66
2015-07-22,,0.15,0.02,,0.23,0.13333333333333333
2015-07-23,,,0.25,,6.35,3.3
2015-07-24,,,0.19,,5.28,2.7350000000000003
2015-07-25,,,0.0,,0.0,0.0
2015-07-26,,,0.25,,0.69,0.47
2015-07-27,,1.13,0.67,,0.69,0.83
2015-07-28,,0.0,,,0.0,0.0
2015-07-29,,0.05,,,,0.05
2015-07-30,,0.07,0.31,,,0.19
2015-07-31,,,,,,
2015-08-01,,1.29,,,,1.29
2015-08-02,,0.0,0.0,,,0.0
2015-08-03,,0.01,,,,0.01
2015-08-04,,,,,,
2015-08-05,,,,,0.62,0.62
2015-08-06,,,,,0.37,0.37
2015-08-07,,0.34,,,0.0,0.17
2015-08-08,,,,,,
2015-08-09,,,,,0.24,0.24
2015-08-10,,,0.52,,0.15,0.335
2015-08-11,,,3.63,,0.04,1.835
2015-08-12,,,0.4,,0.0,0.2
2015-08-13,,,1.07,,0.0,0.535
2015-08-14,,,2.79,,0.0,1.395
2015-08-15,,,0.57,,0.73,0.6499999999999999
2015-08-16,,,,,,
2015-08-17,,,0.02,,,0.02
2015-08-18,,0.02,,,0.12,0.06999999999999999
2015-08-19,,0.03,,,0.44,0.235
2015-08-20,,0.0,1.57,,0.43,0.6666666666666666
2015-08-21,,0.0,,,0.0,0.0
2015-08-22,,,,,,
2015-08-23,,0.06,,,,0.06
2015-08-24,,,,,0.01,0.01
2015-08-25,,0.0,,,,0.0
2015-08-26,,,,,,
2015-08-27,,0.0,,,,0.0
2015-08-28,,0.16,0.16,,0.26,0.19333333333333336
2015-08-29,,,1.48,,,1.48
2015-08-30,,1.04,0.89,,,0.9650000000000001
2015-08-31,,0.49,0.61,,,0.55
2015-09-01,,0.13,1.65,,,0.8899999999999999
2015-09-02,,0.09,0.21,,,0.15
2015-09-03,,0.0,0.12,,,0.06
2015-09-04,,1.54,,,0.04,0.79
2015-09-05,,0.32,,,0.46,0.39
2015-09-06,,0.11,,,0.0,0.055
2015-09-07,,0.0,1.22,,,0.61
2015-09-08,,,0.48,,,0.48
2015-09-09,,0.0,0.0,,,0.0
2015-09-10,,0.2,,,,0.2
2015-09-11,,0.25,0.04,,0.01,0.09999999999999999
2015-09-12,,,0.02,,0.01,0.015
2015-09-13,,,,,0.01,0.01
2015-09-14,,,0.0,,0.0,0.0
2015-09-15,,,0.01,,,0.01
2015-09-16,,,0.0,,,0.0
2015-09-17,,0.02,,,0.09,0.055
2015-09-18,,,,,0.69,0.69
2015-09-19,,,,,0.04,0.04
2015-09-20,,,0.2,,,0.2
2015-09-21,,,0.88,,,0.88
2015-09-22,,,,,0.31,0.31
2015-09-23,,0.0,,,0.0,0.0
2015-09-24,,0.14,,,1.32,0.73
2015-09-25,,,,,,
2015-09-26,,,,,0.01,0.01
2015-09-27,,,,,,
2015-09-28,,0.03,,,,0.03
2015-09-29,,0.44,,,,0.44
2015-09-30,,0.3,,,0.02,0.16
2015-10-01,,0.3,0.0,,0.01,0.10333333333333333
2015-10-02,,0.0,,,0.0,0.0
2015-10-03,,,0.16,,,0.16
2015-10-04,,,2.64,,0.51,1.5750000000000002
2015-10-05,,,0.44,,0.06,0.25
2015-10-06,,,0.2,,2.35,1.2750000000000001
2015-10-07,,,1.27,,0.04,0.655
2015-10-08,,,0.62,,0.0,0.31
2015-10-09,,,0.0,,0.0,0.0
2015-10-10,,,0.04,,,0.04
2015-10-11,,,0.04,,,0.04
2015-10-12,,,,,,
2015-10-13,,0.0,,,,0.0
2015-10-14,,,,,,
2015-10-15,,,,,,
2015-10-16,,,,,,
2015-10-17,,,,,,
2015-10-18,,,,,,
2015-10-19,,,,,,
2015-10-20,,0.02,,,,0.02
2015-10-21,,0.33,,,,0.33
2015-10-22,,0.09,,,,0.09
2015-10-23,,0.03,,,,0.03
2015-10-24,,0.0,,,,0.0
2015-10-25,,0.19,0.0,,,0.095
2015-10-26,,,,,0.33,0.33
2015-10-27,,,0.0,,0.0,0.0
2015-10-28,,,0.02,,0.19,0.105
2015-10-29,,,,,0.52,0.52
2015-10-30,,,0.04,,0.5,0.27
2015-10-31,,,0.02,,0.0,0.01
2015-11-01,,,,,,
2015-11-02,,,0.0,,,0.0
2015-11-03,,,,,0.02,0.02
2015-11-04,,,,,0.06,0.06
2015-11-05,,0.0,0.01,,0.03,0.013333333333333334
2015-11-06,,0.44,,,0.74,0.59
2015-11-07,,0.0,0.08,,0.11,0.06333333333333334
2015-11-08,,0.0,0.09,,0.0,0.03
2015-11-09,,,0.0,,0.0,0.0
2015-11-10,,,,,0.15,0.15
